key,category,exerciseName,language_en,name_en,language_fr,name_fr
BATTLE_ROPE_INSIDE_CIRCLE,BATTLE_ROPE,INSIDE_CIRCLE,en,Battle Rope Inside Circle,fr,Corde de combat - Cercle intérieur
BATTLE_ROPE_IN_AND_OUT_WAVE,BATTLE_ROPE,IN_AND_OUT_WAVE,en,Battle Rope In and Out Wave,fr,Corde de combat - Vague intérieur/extérieur
BATTLE_ROPE_JUMPING_JACKS,BATTLE_ROPE,JUMPING_JACKS,en,Battle Rope Jumping Jacks,fr,Corde de combat - Jumping Jacks
BATTLE_ROPE_OUTSIDE_CIRCLE,BATTLE_ROPE,OUTSIDE_CIRCLE,en,Battle Rope Outside Circle,fr,Corde de combat - Cercle extérieur
BATTLE_ROPE_RAINBOW,BATTLE_ROPE,RAINBOW,en,Battle Rope Rainbow,fr,Corde de combat - Rainbow
BATTLE_ROPE_SIDEWINDER,BATTLE_ROPE,SIDEWINDER,en,Battle Rope Sidewinder,fr,Corde de combat - Sidewinder
BATTLE_ROPE_SIDE_PLANK_WAVE,BATTLE_ROPE,SIDE_PLANK_WAVE,en,Battle Rope Side Plank Wave,fr,Corde de combat - Vague en planche latérale
BATTLE_ROPE_SITTING_RUSSIAN_TWIST,BATTLE_ROPE,SITTING_RUSSIAN_TWIST,en,Battle Rope Sitting Russian Twist,fr,Corde de combat - Torsion oblique assis
BATTLE_ROPE_SNAKE_WAVE,BATTLE_ROPE,SNAKE_WAVE,en,Battle Rope Snake Wave,fr,Corde de combat - Vague serpent
BATTLE_ROPE_SPLIT_JACK,BATTLE_ROPE,SPLIT_JACK,en,Battle Rope Split Jack,fr,Corde de combat - Jack fendu
BATTLE_ROPE_STAGE_COACH,BATTLE_ROPE,STAGE_COACH,en,Battle Rope Stage Coach,fr,Corde de combat - Stage Coach
BATTLE_ROPE_ULTIMATE_WARRIOR,BATTLE_ROPE,ULTIMATE_WARRIOR,en,Battle Rope Ultimate Warrior,fr,Corde de combat - Ultimate Warrior
