key,category,exerciseName,name_en,name_fr
CALF_RAISE_STANDING_BARBELL_CALF_RAISE,CALF_RAISE,STANDING_BARBELL_CALF_RAISE,Standing Barbell Calf Raise,Extension des mollets debout avec barre de poids
CALF_RAISE_STANDING_CALF_RAISE,CALF_RAISE,STANDING_CALF_RAISE,Standing Calf Raise,Exercice de mollet debout
CALF_RAISE_STANDING_DUMBBELL_CALF_RAISE,CALF_RAISE,STANDING_DUMBBELL_CALF_RAISE,Standing Dumbbell Calf Raise,Lever de mollet debout avec haltères
CALF_RAISE_WEIGHTED_DONKEY_CALF_RAISE,CALF_RAISE,WEIGHTED_DONKEY_CALF_RAISE,Weighted Donkey Calf Raise,Chameau avec poids
CALF_RAISE_WEIGHTED_SEATED_CALF_RAISE,CALF_RAISE,WEIGHTED_SEATED_CALF_RAISE,Weighted Seated Calf Raise,Extension des mollets assis avec poids
CALF_RAISE_WEIGHTED_SINGLE_LEG_BENT_KNEE_CALF_RAISE,CALF_RAISE,WEIGHTED_SINGLE_LEG_BENT_KNEE_CALF_RAISE,Weighted Single-leg Bent-knee Calf Raise,Extension des mollets unilatérale genou plié avec poids
CALF_RAISE_WEIGHTED_SINGLE_LEG_DONKEY_CALF_RAISE,CALF_RAISE,WEIGHTED_SINGLE_LEG_DONKEY_CALF_RAISE,Weighted Single-leg Donkey Calf Raise,Chameau sur une jambe avec poids
CALF_RAISE_WEIGHTED_STANDING_CALF_RAISE,CALF_RAISE,WEIGHTED_STANDING_CALF_RAISE,Weighted Standing Calf Raise,Extension des mollets debout avec poids
CALF_RAISE__3_WAY_CALF_RAISE,CALF_RAISE,_3_WAY_CALF_RAISE,3-way Calf Raise,3 exercices pour mollets
CALF_RAISE__3_WAY_SINGLE_LEG_CALF_RAISE,CALF_RAISE,_3_WAY_SINGLE_LEG_CALF_RAISE,3-way Single-leg Calf Raise,3 exercices de mollet sur une jambe
CALF_RAISE__3_WAY_WEIGHTED_CALF_RAISE,CALF_RAISE,_3_WAY_WEIGHTED_CALF_RAISE,3-way Weighted Calf Raise,Extension des mollets sur 3 angles avec poids
